n_gen|n_ind|mutate_rate,it,gen,best
20|20|0.01,9,18,259
20|20|0.01,9,19,259
20|20|0.02,0,0,252
20|20|0.02,0,1,252
20|20|0.02,0,2,284
20|20|0.02,0,3,309
20|20|0.02,0,4,309
20|20|0.02,0,5,309
20|20|0.02,0,6,309
20|20|0.02,0,7,309
20|20|0.02,0,8,309
20|20|0.02,0,9,309
20|20|0.02,0,10,309
20|20|0.02,0,11,309
20|20|0.02,0,12,309
20|20|0.02,0,13,309
20|20|0.02,0,14,309
20|20|0.02,0,15,309
20|20|0.02,0,16,309
20|20|0.02,0,17,309
20|20|0.02,0,18,309
20|20|0.02,0,19,309
20|20|0.02,1,0,217
20|20|0.02,1,1,217
20|20|0.02,1,2,276
20|20|0.02,1,3,276
20|20|0.02,1,4,276
20|20|0.02,1,5,276
20|20|0.02,1,6,276
20|20|0.02,1,7,276
20|20|0.02,1,8,276
20|20|0.02,1,9,276
20|20|0.02,1,10,276
20|20|0.02,1,11,276
20|20|0.02,1,12,276
20|20|0.02,1,13,276
20|20|0.02,1,14,276
20|20|0.02,1,15,276
20|20|0.02,1,16,276
20|20|0.02,1,17,276
20|20|0.02,1,18,276
20|20|0.02,1,19,276
20|20|0.02,2,0,252
20|20|0.02,2,1,252
20|20|0.02,2,2,252
20|20|0.02,2,3,252
20|20|0.02,2,4,252
20|20|0.02,2,5,252
20|20|0.02,2,6,252
20|20|0.02,2,7,252
20|20|0.02,2,8,252
20|20|0.02,2,9,252
20|20|0.02,2,10,252
20|20|0.02,2,11,252
20|20|0.02,2,12,252
20|20|0.02,2,13,252
20|20|0.02,2,14,252
20|20|0.02,2,15,252
20|20|0.02,2,16,252
20|20|0.02,2,17,252
20|20|0.02,2,18,252
20|20|0.02,2,19,252
20|20|0.02,3,0,216
20|20|0.02,3,1,216
20|20|0.02,3,2,216
20|20|0.02,3,3,216
20|20|0.02,3,4,228
20|20|0.02,3,5,259
20|20|0.02,3,6,259
20|20|0.02,3,7,259
20|20|0.02,3,8,259
20|20|0.02,3,9,259
20|20|0.02,3,10,259
20|20|0.02,3,11,259
20|20|0.02,3,12,259
20|20|0.02,3,13,259
20|20|0.02,3,14,259
20|20|0.02,3,15,259
20|20|0.02,3,16,259
20|20|0.02,3,17,259
20|20|0.02,3,18,259
20|20|0.02,3,19,259
20|20|0.02,4,0,233
20|20|0.02,4,1,233
20|20|0.02,4,2,233
20|20|0.02,4,3,259
20|20|0.02,4,4,265
20|20|0.02,4,5,265
20|20|0.02,4,6,284
20|20|0.02,4,7,284
20|20|0.02,4,8,284
20|20|0.02,4,9,284
20|20|0.02,4,10,284
20|20|0.02,4,11,284
20|20|0.02,4,12,284
20|20|0.02,4,13,284
20|20|0.02,4,14,284
20|20|0.02,4,15,284
20|20|0.02,4,16,284
20|20|0.02,4,17,284
20|20|0.02,4,18,284
20|20|0.02,4,19,284
20|20|0.02,5,0,177
20|20|0.02,5,1,225
20|20|0.02,5,2,252
20|20|0.02,5,3,265
20|20|0.02,5,4,276
20|20|0.02,5,5,276
20|20|0.02,5,6,276
20|20|0.02,5,7,276
20|20|0.02,5,8,276
20|20|0.02,5,9,276
20|20|0.02,5,10,276
20|20|0.02,5,11,276
20|20|0.02,5,12,276
20|20|0.02,5,13,276
20|20|0.02,5,14,276
20|20|0.02,5,15,276
20|20|0.02,5,16,276
20|20|0.02,5,17,276
20|20|0.02,5,18,276
20|20|0.02,5,19,276
20|20|0.02,6,0,-1215
20|20|0.02,6,1,269
20|20|0.02,6,2,269
20|20|0.02,6,3,269
20|20|0.02,6,4,269
20|20|0.02,6,5,269
20|20|0.02,6,6,276
20|20|0.02,6,7,276
20|20|0.02,6,8,276
20|20|0.02,6,9,276
20|20|0.02,6,10,276
20|20|0.02,6,11,276
20|20|0.02,6,12,276
20|20|0.02,6,13,276
20|20|0.02,6,14,276
